"","x"
"323",857
"324",3191
"325",3641
"326",2662
"327",3831
"328",1092
"329",1859
"330",283
"331",3420
"332",1985
"333",3775
"334",642
"335",2667
"336",1707
"337",3723
"338",699
"339",3064
"340",3280
"341",1272
"342",2144
"343",690
"344",2109
"345",692
"346",1950
"347",3781
"348",3025
"349",3170
"350",1585
"351",1770
"352",2208
"353",1423
"354",1490
"355",2437
"356",1545
"357",2956
"358",240
"359",2603
"360",2262
"361",1431
"362",2718
"363",342
"364",1803
"365",3308
"366",199
"367",1717
"368",2487
"369",1584
"370",3684
"371",2995
"372",559
"373",610
"374",65
"375",2133
"376",3222
"377",936
"378",1557
"379",54
"380",1811
"381",2233
"382",109
"383",330
"384",2029
"385",748
"386",2994
"387",2476
"388",617
"389",2070
"390",1282
"391",1555
"392",3011
"393",657
"394",767
"395",598
"396",1081
"397",3555
"398",3856
"399",3101
"400",3811
"401",743
"402",681
"403",662
"404",1768
"405",1058
"406",3374
"407",2888
"408",3302
"409",189
"410",3168
"411",2372
"412",502
"413",3862
"414",1778
"415",2023
"416",3572
"417",928
"418",2712
"419",3164
"420",3571
"421",2428
"422",892
"423",1297
"424",3673
"425",3687
"426",2758
"427",2128
"428",791
"429",1860
"430",1031
"431",972
"432",2582
"433",2269
"434",3612
"435",990
"436",2279
"437",390
"438",436
"439",52
"440",3229
"441",3152
"442",1228
"443",3686
"444",2948
"445",19
"446",2115
"447",2702
"448",3144
"449",973
"450",1239
"451",3149
"452",1365
"453",2966
"454",2848
"455",2635
"456",402
"457",1712
"458",1454
"459",2677
"460",2683
"461",840
"462",2504
"463",3390
"464",1960
"465",1220
"466",2491
"467",2998
"468",2740
"469",3153
"470",3595
"471",1055
"472",74
"473",3511
"474",650
"475",2341
"476",1234
"477",2566
"478",2499
"479",1849
"480",28
"481",541
"482",94
"483",2130
"484",597
"485",752
"486",2522
"487",1399
"488",545
"489",2221
"490",3552
"491",1671
"492",1379
"493",360
"494",2729
"495",3708
"496",881
"497",2786
"498",792
"499",3386
"500",2588
"501",1967
"502",2553
"503",53
"504",708
"505",1295
"506",1457
"507",150
"508",2562
"509",1316
"510",2116
"511",2682
"512",416
"513",3221
"514",1008
"515",2447
"516",2438
"517",2348
"518",3876
"519",1906
"520",3583
"521",1359
"522",289
"523",1771
"524",2057
"525",1537
"526",1211
"527",2299
"528",304
"529",2037
"530",523
"531",1933
"532",422
"533",564
"534",1941
"535",2339
"536",1953
"537",1523
"538",101
"539",1862
"540",2077
"541",795
"542",2507
"543",1286
"544",2769
"545",2816
"546",952
"547",3407
"548",868
"549",2571
"550",2323
"551",2263
"552",3503
"553",2770
"554",3400
"555",3321
"556",178
"557",2019
"558",2355
"559",1766
"560",2087
"561",3545
"562",1840
"563",97
"564",356
"565",1826
"566",3565
"567",3770
"568",3746
"569",2186
"570",2464
"571",3451
"572",3046
"573",3423
"574",1111
"575",2214
"576",2112
"577",1595
"578",2281
"579",3748
"580",3596
"581",1401
"582",1506
"583",3178
"584",2924
"585",3362
"586",1156
"587",2885
"588",2436
"589",383
"590",3726
"591",1296
"592",3797
"593",3789
"594",3666
"595",2783
"596",2552
"597",3602
"598",1583
"599",354
"600",3870
"601",465
"602",1870
"603",1875
"604",1833
"605",182
"606",1606
"607",878
"608",1427
"609",2365
"610",1743
"611",2513
"612",1348
"613",117
"614",2434
"615",415
"616",1566
"617",3714
"618",689
"619",2172
"620",1441
"621",3854
"622",203
"623",386
"624",1551
"625",3357
"626",373
"627",2715
"628",948
"629",623
"630",3667
"631",2386
"632",1610
"633",3266
"634",3245
"635",2734
"636",3062
"637",212
"638",2756
"639",979
"640",1782
"641",1375
"642",3638
"643",2099
"644",1458
"645",567
"646",3458
"647",2224
"648",960
"649",1693
"650",221
"651",1792
"652",1845
"653",3804
"654",3406
"655",1576
"656",2895
"657",3023
"658",2835
"659",3141
"660",776
"661",3827
"662",2468
"663",646
"664",2024
"665",1508
"666",1047
"667",2727
"668",1942
"669",2858
"670",327
"671",1045
"672",1989
"673",895
"674",1702
"675",1635
"676",3124
"677",988
"678",2980
"679",202
"680",2997
"681",677
"682",635
"683",459
"684",414
"685",2706
"686",2190
"687",2414
"688",2886
"689",2999
"690",3243
"691",3822
"692",171
"693",2127
"694",2119
"695",787
"696",333
"697",2419
"698",3483
"699",506
"700",3434
"701",3392
"702",149
"703",3320
"704",2055
"705",1843
"706",871
"707",491
"708",1685
"709",1374
"710",3175
"711",2034
"712",3133
"713",794
"714",777
"715",3087
"716",293
"717",3508
"718",1509
"719",3428
"720",1398
"721",1746
"722",1233
"723",2669
"724",3530
"725",3598
"726",2793
"727",1501
"728",1160
"729",3820
"730",210
"731",780
"732",2266
"733",137
"734",3847
"735",2150
"736",2473
"737",3812
"738",2469
"739",2241
"740",3135
"741",1928
"742",434
"743",1461
"744",2273
"745",1625
"746",869
"747",684
"748",1161
"749",1698
"750",528
"751",3115
"752",1077
"753",2085
"754",894
"755",2616
"756",348
"757",3092
"758",3395
"759",963
"760",1830
"761",3476
"762",3169
"763",2954
"764",2584
"765",1638
"766",901
"767",3220
"768",783
"769",2809
"770",3345
"771",1696
"772",2641
"773",1322
"774",206
"775",1257
"776",51
"777",249
"778",2102
"779",924
"780",507
"781",2819
"782",1146
"783",3043
"784",2867
"785",1337
"786",1061
"787",1987
"788",1018
"789",3089
"790",1772
"791",1624
"792",1857
"793",3506
"794",1630
"795",61
"796",99
"797",3355
"798",3026
"799",2933
"800",1544
"801",1646
"802",1355
"803",2342
"804",641
"805",2344
"806",2593
"807",3111
"808",841
"809",1539
"810",965
"811",2984
"812",1562
"813",1034
"814",1620
"815",554
"816",3322
"817",1745
"818",1466
"819",3226
"820",2982
"821",1607
"822",3498
"823",2647
"824",2711
"825",1091
"826",672
"827",2808
"828",2086
"829",209
"830",1600
"831",1166
"832",3685
"833",2529
"834",3486
"835",299
"836",3688
"837",1357
"838",1329
"839",3461
"840",3136
"841",3874
"842",1742
"843",2412
"844",3381
"845",1318
"846",42
"847",1527
"848",1407
"849",3818
"850",450
"851",1494
"852",3429
"853",55
"854",2660
"855",1725
"856",374
"857",2846
"858",1705
"859",316
"860",2514
"861",173
"862",62
"863",3230
"864",2332
"865",2333
"866",2390
"867",3468
"868",508
"869",2855
"870",3439
"871",496
"872",533
"873",365
"874",1054
"875",2704
"876",2013
"877",3865
"878",2211
"879",3050
"880",2014
"881",318
"882",2191
"883",2884
"884",141
"885",3628
"886",2318
"887",3200
"888",1363
"889",2363
"890",578
"891",1823
"892",548
"893",2595
"894",3399
"895",566
"896",2174
"897",1167
"898",3601
"899",2716
"900",288
"901",3071
"902",834
"903",2790
"904",317
"905",250
"906",3597
"907",3010
"908",2282
"909",3617
"910",2643
"911",2147
"912",582
"913",3081
"914",2321
"915",303
"916",277
"917",3207
"918",3225
"919",2549
"920",2201
"921",1386
"922",2583
"923",347
"924",1373
"925",819
"926",604
"927",1680
"928",678
"929",2132
"930",2123
"931",2240
"932",3473
"933",1419
"934",2158
"935",453
"936",3631
"937",3493
"938",862
"939",89
"940",2143
"941",1825
"942",3113
"943",3594
"944",3742
"945",3816
"946",3798
"947",693
"948",3489
"949",2261
"950",816
"951",3759
"952",91
"953",2352
"954",286
"955",83
"956",3228
"957",344
"958",181
"959",3764
"960",653
"961",3045
"962",1889
"963",688
"964",2425
"965",2485
"966",148
"967",3122
"968",2122
"969",3848
"970",3013
"971",2687
"972",1442
"973",1534
"974",1314
"975",1834
"976",3424
"977",1270
"978",3782
"979",242
"980",3307
"981",3566
"982",3331
"983",2581
"984",269
"985",3707
"986",2830
"987",3616
"988",1633
"989",741
"990",639
"991",1262
"992",562
"993",3157
"994",732
"995",3271
"996",3363
"997",3582
"998",498
"999",2155
"1000",620
"1001",492
"1002",3497
"1003",313
"1004",2176
"1005",1821
"1006",601
"1007",3792
"1008",883
"1009",1749
"1010",1200
"1011",68
"1012",2932
"1013",2039
"1014",753
"1015",1201
"1016",1623
"1017",350
"1018",3337
"1019",534
"1020",676
"1021",1640
"1022",2154
"1023",2090
"1024",711
"1025",224
"1026",2206
"1027",3494
"1028",1088
"1029",1133
"1030",1189
"1031",439
"1032",1965
"1033",3815
"1034",248
"1035",2579
"1036",3002
"1037",3877
"1038",627
"1039",1869
"1040",1068
"1041",2442
"1042",2080
"1043",616
"1044",3185
"1045",3018
"1046",3837
"1047",3196
"1048",1924
"1049",2374
"1050",1391
"1051",2045
"1052",2787
"1053",2801
"1054",1268
"1055",2100
"1056",2795
"1057",114
"1058",2747
"1059",2905
"1060",2564
"1061",2346
"1062",3097
"1063",2990
"1064",1336
"1065",2298
"1066",2117
"1067",2360
"1068",3449
"1069",2520
"1070",3637
"1071",2861
"1072",2010
"1073",1155
"1074",2424
"1075",3719
"1076",1799
"1077",1627
"1078",108
"1079",3385
"1080",3123
"1081",1565
"1082",215
"1083",3712
"1084",409
"1085",3058
"1086",2319
"1087",2035
"1088",3306
"1089",2671
"1090",1378
"1091",848
"1092",2754
"1093",1591
"1094",3732
"1095",2872
"1096",349
"1097",3102
"1098",82
"1099",219
"1100",1878
"1101",3137
"1102",784
"1103",3446
"1104",1410
"1105",297
"1106",3401
"1107",3283
"1108",3681
"1109",176
"1110",2493
"1111",2101
"1112",2025
"1113",1020
"1114",1267
"1115",823
"1116",3412
"1117",526
"1118",3660
"1119",3542
"1120",2976
"1121",717
"1122",2271
"1123",2989
"1124",2449
"1125",3183
"1126",675
"1127",1828
"1128",530
"1129",550
"1130",3450
"1131",3445
"1132",1540
"1133",328
"1134",1475
"1135",1139
"1136",1934
"1137",912
"1138",3325
"1139",1974
"1140",1340
"1141",1972
"1142",2644
"1143",3472
"1144",143
"1145",1887
"1146",958
"1147",3182
"1148",1153
"1149",380
"1150",1721
"1151",1722
"1152",1785
"1153",3443
"1154",595
"1155",1944
"1156",2665
"1157",542
"1158",2624
"1159",1650
"1160",987
"1161",2239
"1162",2353
"1163",389
"1164",3706
"1165",2248
"1166",980
"1167",2849
"1168",1976
"1169",26
"1170",1661
"1171",3365
"1172",2535
"1173",1170
"1174",1573
"1175",1920
"1176",1672
"1177",1564
"1178",1347
"1179",3039
"1180",3167
"1181",1853
"1182",1510
"1183",454
"1184",3116
"1185",1866
"1186",485
"1187",1532
"1188",860
"1189",2105
"1190",2124
"1191",3813
"1192",1240
"1193",821
"1194",867
"1195",468
"1196",1802
"1197",3776
"1198",332
"1199",986
"1200",3524
"1201",1145
"1202",1368
"1203",1362
"1204",1571
"1205",905
"1206",2422
"1207",2501
"1208",1464
"1209",3298
"1210",3106
"1211",2798
"1212",1124
"1213",1747
"1214",1119
"1215",1182
"1216",1885
"1217",216
"1218",3622
"1219",1224
"1220",1204
"1221",1199
"1222",2640
"1223",1202
"1224",749
"1225",3654
"1226",1559
"1227",755
"1228",1010
"1229",2746
"1230",929
"1231",2267
"1232",2398
"1233",2710
"1234",3795
"1235",3042
"1236",1250
"1237",1023
"1238",1477
"1239",116
"1240",1686
"1241",2283
"1242",2331
"1243",3655
"1244",3234
"1245",648
"1246",410
"1247",1909
"1248",1615
"1249",1350
"1250",159
"1251",745
"1252",589
"1253",3347
"1254",3802
"1255",891
"1256",1158
"1257",808
"1258",399
"1259",1424
"1260",346
"1261",153
"1262",79
"1263",230
"1264",2156
"1265",1498
"1266",1420
"1267",3765
"1268",1981
"1269",1521
"1270",1394
"1271",125
"1272",998
"1273",2457
"1274",3872
"1275",3093
"1276",2017
"1277",2614
"1278",3336
"1279",1898
"1280",1683
"1281",45
"1282",2525
"1283",126
"1284",3536
"1285",2494
"1286",72
"1287",3387
"1288",1761
"1289",3349
"1290",3236
"1291",1655
"1292",127
"1293",3142
"1294",3659
"1295",654
"1296",352
"1297",956
"1298",2369
"1299",3679
"1300",2062
"1301",368
"1302",667
"1303",3625
"1304",1836
"1305",1275
"1306",2218
"1307",1579
"1308",3619
"1309",1507
"1310",1932
"1311",302
"1312",1448
"1313",396
"1314",663
"1315",1769
"1316",75
"1317",1342
"1318",2896
"1319",3466
"1320",2272
"1321",2547
"1322",3074
"1323",2678
"1324",2136
"1325",825
"1326",1360
"1327",160
"1328",192
"1329",1035
"1330",1814
"1331",3376
"1332",1605
"1333",3846
"1334",1128
"1335",291
"1336",77
"1337",3858
"1338",2648
"1339",2953
"1340",665
"1341",553
"1342",3758
"1343",2789
"1344",3573
"1345",257
"1346",2817
"1347",3075
"1348",2797
"1349",3620
"1350",2735
"1351",2605
"1352",2376
"1353",2979
"1354",593
"1355",2693
"1356",3391
"1357",1319
"1358",2673
"1359",3543
"1360",2084
"1361",1255
"1362",412
"1363",1983
"1364",3769
"1365",3728
"1366",3359
"1367",3107
"1368",2300
"1369",3819
"1370",2806
"1371",2546
"1372",112
"1373",2444
"1374",355
"1375",1117
"1376",3397
"1377",1819
"1378",527
"1379",1990
"1380",3499
"1381",1816
"1382",15
"1383",2621
"1384",3556
"1385",2766
"1386",166
"1387",3752
"1388",3495
"1389",1107
"1390",483
"1391",1227
"1392",3224
"1393",1113
"1394",3808
"1395",2059
"1396",2435
"1397",2517
"1398",3070
"1399",319
"1400",164
"1401",3665
"1402",660
"1403",1594
"1404",3879
"1405",1978
"1406",3009
"1407",375
"1408",494
"1409",3132
"1410",1320
"1411",2699
"1412",2724
"1413",345
"1414",2071
"1415",420
"1416",3029
"1417",3231
"1418",1192
"1419",3195
"1420",3735
"1421",1180
"1422",1341
"1423",243
"1424",1654
"1425",2609
"1426",2555
"1427",3184
"1428",2822
"1429",757
"1430",1867
"1431",3567
"1432",2413
"1433",194
"1434",2503
"1435",1302
"1436",1093
"1437",571
"1438",155
"1439",3063
"1440",2599
"1441",1756
"1442",2742
"1443",2478
"1444",3413
"1445",622
"1446",3001
"1447",128
"1448",3462
"1449",3661
"1450",3036
"1451",1636
"1452",2568
"1453",1044
"1454",3689
"1455",2955
"1456",1884
"1457",1955
"1458",87
"1459",3360
"1460",2898
"1461",3537
"1462",3699
"1463",2236
"1464",3048
"1465",3519
"1466",2173
"1467",325
"1468",1249
"1469",2670
"1470",1917
"1471",326
"1472",2296
"1473",2686
"1474",3350
"1475",67
"1476",3760
"1477",3257
"1478",683
"1479",3780
"1480",1641
"1481",1855
"1482",1980
"1483",1459
"1484",1667
"1485",618
"1486",1578
"1487",2768
"1488",2850
"1489",1149
"1490",1215
"1491",1736
"1492",521
"1493",156
"1494",2738
"1495",3121
"1496",1064
"1497",118
"1498",3035
"1499",2313
"1500",1015
"1501",1946
"1502",2636
"1503",1517
"1504",1216
"1505",670
"1506",3279
"1507",1873
"1508",3738
"1509",3297
"1510",3305
"1511",1486
"1512",301
"1513",2083
"1514",2454
"1515",3878
"1516",93
"1517",863
"1518",1800
"1519",3737
"1520",520
"1521",858
"1522",2676
"1523",3591
"1524",3544
"1525",978
"1526",1992
"1527",3151
"1528",916
"1529",431
"1530",2757
"1531",3416
"1532",724
"1533",736
"1534",2320
"1535",1325
"1536",449
"1537",539
"1538",3793
"1539",448
"1540",1603
"1541",2942
"1542",3703
"1543",2477
"1544",1195
"1545",1364
"1546",18
"1547",1596
"1548",3806
"1549",1416
"1550",2703
"1551",2985
"1552",1101
"1553",2977
"1554",2773
"1555",14
"1556",3453
"1557",1137
"1558",893
"1559",265
"1560",1142
"1561",941
"1562",1046
"1563",254
"1564",1428
"1565",395
"1566",2480
"1567",3747
"1568",975
"1569",2351
"1570",1561
"1571",1533
"1572",311
"1573",2242
"1574",511
"1575",363
"1576",2857
"1577",1810
"1578",3560
"1579",768
"1580",2950
"1581",1328
"1582",3270
"1583",3830
"1584",1851
"1585",3801
"1586",22
"1587",3477
"1588",3788
"1589",2121
"1590",2020
"1591",3012
"1592",1637
"1593",922
"1594",1688
"1595",2000
"1596",967
"1597",673
"1598",2033
"1599",1726
"1600",636
"1601",1063
"1602",1327
"1603",371
"1604",966
"1605",1021
"1606",1504
"1607",2328
"1608",2821
"1609",1194
"1610",3734
"1611",2031
"1612",1453
"1613",1910
"1614",2918
"1615",3606
"1616",2167
"1617",1956
"1618",3130
"1619",1446
"1620",970
"1621",855
"1622",2883
"1623",630
"1624",758
"1625",2771
"1626",1628
"1627",731
"1628",129
"1629",3174
"1630",2512
"1631",1417
"1632",211
"1633",915
"1634",3774
"1635",102
"1636",1975
"1637",3205
"1638",10
"1639",2827
"1640",2325
"1641",2177
"1642",2171
"1643",3656
"1644",1478
"1645",3214
"1646",1677
"1647",1444
"1648",2570
"1649",2935
"1650",3568
"1651",253
"1652",647
"1653",2871
"1654",3809
"1655",2195
"1656",59
"1657",3052
"1658",897
"1659",1116
"1660",961
"1661",2868
"1662",1897
"1663",2531
"1664",811
"1665",452
"1666",2653
"1667",3474
"1668",818
"1669",2860
"1670",3700
"1671",1795
"1672",2297
"1673",1006
"1674",1134
"1675",1643
"1676",1429
"1677",719
"1678",3239
"1679",3657
"1680",661
"1681",2847
"1682",1644
"1683",1002
"1684",2358
"1685",2247
"1686",3082
"1687",1535
"1688",3727
"1689",1333
"1690",1593
"1691",1120
"1692",735
"1693",3850
"1694",2217
"1695",3677
"1696",651
"1697",1741
"1698",1940
"1699",3217
"1700",3027
"1701",1500
"1702",2587
"1703",1668
"1704",2627
"1705",832
"1706",3290
"1707",1219
"1708",323
"1709",222
"1710",2608
"1711",282
"1712",3096
"1713",796
"1714",845
"1715",2410
"1716",1051
"1717",629
"1718",1663
"1719",3487
"1720",23
"1721",2964
"1722",2079
"1723",1496
"1724",2903
"1725",3824
"1726",2610
"1727",2219
"1728",2575
"1729",3668
"1730",1311
"1731",1986
"1732",2192
"1733",1473
"1734",3640
"1735",1773
"1736",2526
"1737",985
"1738",1258
"1739",3690
"1740",1737
"1741",1531
"1742",1369
"1743",2312
"1744",1827
"1745",106
"1746",187
"1747",2175
"1748",2254
"1749",1614
"1750",2238
"1751",981
"1752",561
"1753",2891
"1754",935
"1755",2554
"1756",472
"1757",3251
"1758",3465
"1759",659
"1760",58
"1761",2184
"1762",1152
"1763",1148
"1764",241
"1765",3238
"1766",1966
"1767",3418
"1768",2287
"1769",2811
"1770",1732
"1771",1041
"1772",3839
"1773",3875
"1774",3613
"1775",2967
"1776",335
"1777",805
"1778",2270
"1779",1824
"1780",88
"1781",2598
"1782",920
"1783",3379
"1784",2004
"1785",2539
"1786",2536
"1787",432
"1788",2645
"1789",34
"1790",2705
"1791",847
"1792",3509
"1793",2981
"1794",2626
"1795",3094
"1796",3255
"1797",2833
"1798",2207
"1799",1003
"1800",2196
"1801",234
"1802",2200
"1803",1806
"1804",1530
"1805",2527
"1806",3550
"1807",685
"1808",2957
"1809",3260
"1810",2815
"1811",926
"1812",1925
"1813",2685
"1814",3751
"1815",1547
"1816",2818
"1817",575
"1818",1251
"1819",1588
"1820",1007
"1821",1822
"1822",16
"1823",1005
"1824",2739
"1825",145
"1826",1069
"1827",57
"1828",2518
"1829",3313
"1830",1198
"1831",1543
"1832",1293
"1833",2106
"1834",3455
"1835",338
"1836",1445
"1837",1882
"1838",238
"1839",932
"1840",2406
"1841",2764
"1842",2439
"1843",2185
"1844",2430
"1845",1371
"1846",1482
"1847",3330
"1848",969
"1849",801
"1850",940
"1851",628
"1852",2794
"1853",261
"1854",2044
"1855",428
"1856",2310
"1857",2237
"1858",3179
"1859",2936
"1860",2922
"1861",968
"1862",1852
"1863",754
"1864",1691
"1865",1011
"1866",3470
"1867",2960
"1868",3114
"1869",2337
"1870",3181
"1871",1492
"1872",170
"1873",3710
"1874",73
"1875",3529
"1876",1656
"1877",2384
"1878",2338
"1879",800
"1880",938
"1881",312
"1882",1622
"1883",3112
"1884",3284
"1885",3286
"1886",833
"1887",377
"1888",1191
"1889",3383
"1890",3577
"1891",3653
"1892",370
"1893",2679
"1894",588
"1895",764
"1896",516
"1897",3409
"1898",746
"1899",2393
"1900",2894
"1901",624
"1902",246
"1903",3790
"1904",3662
"1905",3575
"1906",2620
"1907",1846
"1908",2371
"1909",546
"1910",3803
"1911",229
"1912",2930
"1913",2996
"1914",3364
"1915",3799
"1916",3471
"1917",1805
"1918",1168
"1919",1358
"1920",1114
"1921",1043
"1922",1548
"1923",2405
"1924",1304
"1925",1660
"1926",2672
"1927",1039
"1928",607
"1929",2550
"1930",2925
"1931",2592
"1932",2294
"1933",3329
"1934",161
"1935",3295
"1936",2345
"1937",3160
"1938",1439
"1939",836
"1940",3100
"1941",1901
"1942",1613
"1943",2002
"1944",3488
"1945",2803
"1946",2762
"1947",3743
"1948",2421
"1949",2265
"1950",1097
"1951",762
"1952",1470
"1953",95
"1954",278
"1955",1447
"1956",514
"1957",734
"1958",1469
"1959",3585
"1960",799
"1961",2335
"1962",3067
"1963",3779
"1964",1831
"1965",213
"1966",2350
"1967",3341
"1968",1657
"1969",2427
"1970",3861
"1971",2481
"1972",3426
"1973",3559
"1974",718
"1975",1334
"1976",3318
"1977",1880
"1978",3415
"1979",369
"1980",876
"1981",1090
"1982",2357
"1983",3317
"1984",1681
"1985",476
"1986",1699
"1987",3333
"1988",3007
"1989",2695
"1990",1136
"1991",3841
"1992",1025
"1993",1396
"1994",3447
"1995",691
"1996",3754
"1997",2
"1998",2383
"1999",2557
"2000",467
"2001",2617
"2002",866
"2003",1874
"2004",1977
"2005",2479
"2006",2165
"2007",1529
"2008",937
"2009",2021
"2010",195
"2011",1421
"2012",2866
"2013",393
"2014",1632
"2015",906
"2016",1808
"2017",2904
"2018",1402
"2019",2870
"2020",1315
"2021",267
"2022",268
"2023",3674
"2024",2012
"2025",2166
"2026",992
"2027",3091
"2028",1277
"2029",509
"2030",1952
"2031",2497
"2032",2230
"2033",3720
"2034",2315
"2035",274
"2036",469
"2037",2098
"2038",1075
"2039",2496
"2040",549
"2041",1968
"2042",1242
"2043",2782
"2044",1914
"2045",177
"2046",2094
"2047",1349
"2048",679
"2049",3484
"2050",3630
"2051",2574
"2052",1162
"2053",2322
"2054",31
"2055",614
"2056",3532
"2057",696
"2058",1883
"2059",1738
"2060",11
"2061",3730
"2062",2565
"2063",3154
"2064",309
"2065",3408
"2066",1331
"2067",2397
"2068",505
"2069",917
"2070",2482
"2071",3202
"2072",1896
"2073",2197
"2074",2458
"2075",2307
"2076",664
"2077",446
"2078",1
"2079",1926
"2080",1243
"2081",2728
"2082",2607
"2083",1209
"2084",1254
"2085",760
"2086",3310
"2087",3648
"2088",1256
"2089",3838
"2090",2097
"2091",3319
"2092",1013
"2093",2813
"2094",2145
"2095",971
"2096",1287
"2097",2856
"2098",3248
"2099",3750
"2100",3212
"2101",3354
"2102",772
"2103",1765
"2104",1493
"2105",1572
"2106",3783
"2107",2403
"2108",2652
"2109",3836
"2110",2415
"2111",1665
"2112",2717
"2113",413
"2114",3855
"2115",146
"2116",3366
"2117",2295
"2118",2028
"2119",351
"2120",3005
"2121",1264
"2122",2149
"2123",2232
"2124",262
"2125",2780
"2126",3578
"2127",3442
"2128",994
"2129",12
"2130",1626
"2131",223
"2132",1050
"2133",2113
"2134",634
"2135",3
"2136",742
"2137",2366
"2138",1902
"2139",1070
"2140",3253
"2141",2203
"2142",1074
"2143",3866
"2144",2096
"2145",2659
"2146",3464
"2147",2519
"2148",200
"2149",2688
"2150",2408
"2151",3384
"2152",1014
"2153",2537
"2154",1248
"2155",479
"2156",1832
"2157",3038
"2158",3147
"2159",1569
"2160",1186
"2161",3868
"2162",1210
"2163",1019
"2164",1993
"2165",2841
"2166",105
"2167",3520
"2168",2559
"2169",773
"2170",1112
"2171",382
"2172",903
"2173",870
"2174",705
"2175",2726
"2176",943
"2177",3080
"2178",1330
"2179",1750
"2180",2138
"2181",1471
"2182",3388
"2183",2623
"2184",392
"2185",538
"2186",515
"2187",1916
"2188",2767
"2189",865
"2190",2949
"2191",290
"2192",1706
"2193",957
"2194",3436
"2195",3859
"2196",3040
"2197",2042
"2198",2800
"2199",3523
"2200",35
"2201",1405
"2202",1664
"2203",537
"2204",388
"2205",807
"2206",525
"2207",864
"2208",3440
"2209",3675
"2210",2268
"2211",2048
"2212",2714
"2213",3562
"2214",3610
"2215",2489
"2216",3219
"2217",266
"2218",2091
"2219",1890
"2220",3849
"2221",1230
"2222",1223
